# Generated: 2026-09-24T21:10:01.187205

☘️新疆频道,#genre#
伊犁维吾尔,http://110.153.180.106:55555/out_2/index.m3u8

☘️广西频道,#genre#
灌阳新闻综合,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8

☘️湖北频道,#genre#
江夏新闻综合,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8

☘️黑龙江频道,#genre#
黑龙江新闻,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
黑龙江少儿,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
哈尔滨新闻综合,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
哈尔滨资讯,http://stream.hrbtv.net/zxpd/sd/live.m3u8
哈尔滨都市资讯,http://stream.hrbtv.net/zxpd/sd/live.m3u8?zheild
哈尔滨生活,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
哈尔滨影视,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
哈尔滨娱乐,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8

☘️甘肃频道,#genre#
甘肃都市,https://satellitepull.cnr.cn/live/wxgsdstb/playlist.m3u8

📺央视频道,#genre#
CCTV-1,http://45.192.97.170:8880/play/1.m3u8
CCTV-3,http://69.30.245.50/live/cctv3.m3u8
CCTV-4,http://69.30.245.50/live/cctv4.m3u8
CCTV-5,http://45.192.97.170:8880/play/6.m3u8
CCTV-7,http://69.30.245.50/live/cctv7.m3u8
CCTV-8,http://69.30.245.50/live/cctv8.m3u8
CCTV-9,http://69.30.245.50/live/cctv9.m3u8
CCTV-10,http://69.30.245.50/live/cctv10.m3u8
CCTV-11,http://45.192.97.170:8880/play/12.m3u8
CCTV-12,http://45.192.97.170:8880/play/13.m3u8
CCTV-13,http://45.192.97.170:8880/play/14.m3u8
CCTV-14,http://45.192.97.170:8880/play/15.m3u8
CCTV-15,http://45.192.97.170:8880/play/16.m3u8
CCTV-17,http://45.192.97.170:8880/play/17.m3u8
CCTV-4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1790330400-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-39958976577036c40bd8a15a2c2a4516&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CGTN,https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
CGTN Documentary,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
CGTN Global Biz,https://fastlive.cctvplus.com/out/v1/2b3d8a0c805d437f9dc85b764c2ac599/index.m3u8
CGTN-Documentary,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN阿语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8

☘️四川频道,#genre#
青川综合,http://qcfile.qcrmt.com/nmip-media/channellive/channel100933/playlist.m3u8
乐至综合,http://175.155.106.72:89/live1/live1.m3u8?zsicd

☘️广东频道,#genre#
广州竞赛,http://8.138.7.223/tv/gzjs.m3u8

☘️河北频道,#genre#
河北农民,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
衡水公共,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
河北,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8

🌊港·澳·台,#genre#
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8

📡卫视频道,#genre#
河北卫视,http://113.57.140.161:10081/newlive/live/hls/33/live.m3u8
辽宁卫视,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://113.57.140.161:10081/newlive/live/hls/36/live.m3u8
海南卫视,http://112.234.22.76:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
ABN China,https://mediaserver.abnvideos.com/streams/abnchina.m3u8
Arirang,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
China Travel,https://fastlive.cctvplus.com/out/v1/ca6f9297b7314a63959435028af287fc/index.m3u8
Chuxiong News Channel [Not 24/7],http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
Dali TV,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
Discovering China,https://fastlive.cctvplus.com/out/v1/8442c3bfd4c64a3984389328f6087879/index.m3u8
Harbin Comprehensive News Channel,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
Harbin Movie Channel,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
Home Plus,https://homeplushls.wns.live/hls/stream.m3u8
HomePlus,https://homeplushls.wns.live/hls/stream.m3u8
Kangba TV,http://110.185.237.164:8888/hls/30/index.m3u8
Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
Pet Club TV,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-petclub-samsungnz/playlist.m3u8
Supreme Master TV,https://lbs-us1.suprememastertv.com/720p.m3u8
TV BRICS Chinese,https://chibrics.mediacdn.ru/cdn/brics/chinese/playlist.m3u8
Trace Sports,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
VOA美国之音,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8
VoA TV China,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8
Wild Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
WionNews,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
Xinjiang TV 3,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
伊犁经济法制,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
哈尔滨都市咨询,http://stream.hrbtv.net/zxpd/sd/live.m3u8?zheild
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
春晚2025,https://res.cctvnews.cctv.com/video/3005/record/cctv/merge1/133396667284143308839013005/8fbd6180bdef4da19f6155cf6b4652e1-4.m3u8
武汉一台新闻综合,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
江津新闻,http://222.179.155.21:1935/ch1.m3u8?zzhongqd
江津经济生活,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
熊猫直,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
福州广电视台新闻综合频道,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
绍兴电视台公共,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
耀才财经,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
韩国EBS少儿,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743
音乐欣赏,http://61.221.215.25:8800/hls/49/index.m3u8

☘️福建频道,#genre#
三明新闻综合,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
云霄综合,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8

☘️浙江频道,#genre#
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8?
嘉兴新闻综合,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
浙江 Ⅰ 绍兴影视,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
浙江 Ⅰ 绍兴综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8

☘️江苏频道,#genre#
靖江新闻综合,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8

☘️安徽频道,#genre#
固镇新闻,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8

☘️重庆频道,#genre#
江津新闻综合,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
